<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
RTSI;60;03/04/20;130000;1056.6400000;1062.2600000;1052.6300000;1059.9600000;141795326
RTSI;60;03/04/20;140000;1060.0000000;1060.8700000;1050.3600000;1050.9200000;120844152
RTSI;60;03/04/20;150000;1050.9400000;1061.7800000;1044.5600000;1059.8900000;130027271
RTSI;60;03/04/20;160000;1059.9800000;1067.1500000;1058.2900000;1064.2100000;166251727
RTSI;60;03/04/20;170000;1064.2000000;1070.4200000;1057.2900000;1057.6700000;181648087
RTSI;60;03/04/20;180000;1057.7500000;1062.3200000;1047.9100000;1053.4300000;160402775
RTSI;60;03/04/20;190000;1053.4700000;1054.8500000;1047.6600000;1049.8800000;132982701
RTSI;60;06/04/20;110000;1069.6600000;1076.6700000;1066.0300000;1071.5200000;227693812
RTSI;60;06/04/20;120000;1071.5300000;1071.7300000;1059.3100000;1066.5600000;140025947
RTSI;60;06/04/20;130000;1066.5500000;1074.1000000;1065.2100000;1071.1100000;105845225
RTSI;60;06/04/20;140000;1071.0700000;1072.1000000;1065.6800000;1069.9400000;80747498
RTSI;60;06/04/20;150000;1069.9500000;1073.4900000;1066.5600000;1070.5800000;83156836
RTSI;60;06/04/20;160000;1070.5900000;1075.9600000;1068.6200000;1074.2700000;81934888
RTSI;60;06/04/20;170000;1074.2600000;1082.0000000;1069.9600000;1080.8900000;125982061
RTSI;60;06/04/20;180000;1080.9300000;1090.8100000;1078.9400000;1080.5000000;207172899
RTSI;60;06/04/20;190000;1080.5300000;1084.4700000;1077.9600000;1083.4300000;129352723
RTSI;60;07/04/20;110000;1097.8200000;1116.0800000;1097.8200000;1112.5300000;343351866
RTSI;60;07/04/20;120000;1112.5100000;1122.8800000;1110.3100000;1115.0800000;251996782
RTSI;60;07/04/20;130000;1115.3500000;1119.0400000;1113.9500000;1114.4800000;102768232
RTSI;60;07/04/20;140000;1114.5400000;1119.6900000;1112.9300000;1116.3400000;106809142
RTSI;60;07/04/20;150000;1116.2700000;1117.2400000;1099.1000000;1099.1000000;147699808
RTSI;60;07/04/20;160000;1099.1100000;1104.6400000;1093.4800000;1102.9800000;198628461
RTSI;60;07/04/20;170000;1102.8200000;1106.2600000;1094.4800000;1103.9400000;146692037
RTSI;60;07/04/20;180000;1104.0300000;1104.9000000;1087.0800000;1089.4900000;159177408
RTSI;60;07/04/20;190000;1089.5000000;1099.7600000;1089.2700000;1099.7600000;153903562
RTSI;60;08/04/20;110000;1091.5300000;1099.6600000;1083.5000000;1099.6600000;228099233
RTSI;60;08/04/20;120000;1099.5700000;1099.7600000;1085.3700000;1092.9200000;108524235
RTSI;60;08/04/20;130000;1092.9500000;1093.2200000;1083.6700000;1087.1200000;76462111
RTSI;60;08/04/20;140000;1087.0400000;1092.1900000;1087.0400000;1089.7300000;60545542
RTSI;60;08/04/20;150000;1089.7100000;1095.7300000;1089.2900000;1094.9400000;65903016
RTSI;60;08/04/20;160000;1094.9000000;1100.3200000;1093.1700000;1094.9000000;116247142
RTSI;60;08/04/20;170000;1094.9900000;1104.3400000;1094.9700000;1103.0300000;146888751
RTSI;60;08/04/20;180000;1103.1900000;1106.1200000;1098.9800000;1101.6800000;118023412
RTSI;60;08/04/20;190000;1101.6800000;1114.6000000;1100.1100000;1114.6000000;193570175
RTSI;60;09/04/20;110000;1130.1400000;1140.1000000;1128.7300000;1137.5200000;261892838
RTSI;60;09/04/20;120000;1137.4900000;1138.5000000;1126.7300000;1133.8500000;153464395
RTSI;60;09/04/20;130000;1133.8600000;1144.5900000;1132.4200000;1143.5600000;99452277
RTSI;60;09/04/20;140000;1143.6700000;1150.1800000;1143.2100000;1149.7100000;88920521
RTSI;60;09/04/20;150000;1149.7400000;1150.5700000;1119.8200000;1132.9000000;198833572
RTSI;60;09/04/20;160000;1132.8500000;1148.1100000;1128.4900000;1146.8400000;126833424
RTSI;60;09/04/20;170000;1146.9000000;1153.0900000;1143.2800000;1151.0400000;139525764
RTSI;60;09/04/20;180000;1151.1500000;1170.2700000;1138.1800000;1164.3800000;323216869
RTSI;60;09/04/20;190000;1164.2100000;1164.2100000;1146.9900000;1155.4900000;212368769
RTSI;60;10/04/20;110000;1132.4900000;1144.9300000;1127.8400000;1142.7100000;144064749
RTSI;60;10/04/20;120000;1142.6900000;1146.3900000;1138.6500000;1139.4700000;58733659
RTSI;60;10/04/20;130000;1139.5100000;1143.8800000;1138.2300000;1139.8500000;37560536
RTSI;60;10/04/20;140000;1139.8000000;1140.2900000;1134.9100000;1135.2500000;36369293
RTSI;60;10/04/20;150000;1135.2500000;1140.2900000;1134.5000000;1139.1800000;30150192
RTSI;60;10/04/20;160000;1139.1600000;1145.0900000;1138.1200000;1144.3700000;38748015
